data,refeicao,prato_principal_1,prato_principal_2,guarnição,sobremesa
2023-01-21,almoco,bife ao molho roty,pvt mexicano,couve flor ao alho,mousse de maracujá e abacaxi
2023-01-23,almoco,carne moída refogada,pvt alemão,cenoura gratinada,torrone e maçã
2023-01-23,jantar,bisteca suína ao molho barbecue ,grão de bico à indiana,couve ao alho,chocolate e melão
2023-01-24,almoco,hambúrguer ao sugo,hambúrguer de lentilha ao sugo,macarrão com espinafre,manjar de coco e melancia
2023-01-24,jantar,frango assado,caneloni de ricota com espinafre,quiabo refogado,mini bolo de baunilha e mamão
2023-01-25,almoco,lombo assado ao molho roty,curry de legumes,farofa rica,maxi chocolate e melão
2023-01-25,jantar,strogonoff de carne,strogonoff de pvt,batata palha,sorvete de flocos e banana
2023-01-26,almoco,panqueca de carne,panqueca de pvt,legumes sauté,iogurte e laranja
2023-01-26,jantar,frango empanado,ovo frito,creme de milho,gelatina de framboesa e melancia
2023-01-27,almoco,frango assado,omelete de espinafre,batata corada,brigadeirão e abacaxi
2023-01-27,jantar,bife grelhado ao molho de cebola,grãos gratinados,couve -  flor sauté,cocada branca e maçã
2023-01-28,almoco,cubos de pernil ao molho de limão,quibe de pvt,batata doce com ervas,curau e mamão
2023-01-30,almoco,carne em cubos ao molho pomodoro,ovo frito,purê de batatas,bombom e abacaxi
2023-01-30,jantar,lombo ao molho de limão,pvt gratinado,farofa rica,iogurte e laranja
2023-01-31,almoco,filé de frango à pizzaiolo,bife de grão de bico à pizzaiolo,brócolis à provençal,doce de abóbora com coco e banana
2023-01-31,jantar,bife ao molho roty,pvt alemão,legumes sautê,bananada e melancia
2023-02-01,almoco,estrogonofe de carne,bobó de abóbora e palmito,vagem ao alho,picolé de uva e maçã
2023-02-01,jantar,peixe frito com limão autoserviço,ovo cozido,batata corada,maria mole com coco e abacaxi
2023-02-02,almoco,bife ao molho de cogumelos,almôndega de aveia ao molho de cogumelo,nhoque ao sugo,maxi goiabinha e laranja
2023-02-02,jantar,filé de frango ao molho rosê,grãos com queijo,cenoura à salsa,mosaico de gelatina e banana
2023-02-03,almoco,pernil ao molho de limão,curry de legumes,virado de couve,brigadeirão e melancia
2023-02-03,jantar,quibe de assadeira com limão autoserviço,quibe de pvt,couve flor ao vinagrete,romeu e julieta e maçã
2023-02-04,almoco,bife ao molho de azeitonas,bife de pvt ao molho de azeitonas,chuchu gratinado,pudim de morango com calda de groselha e melão
2023-02-06,almoco,bife ao molho madeira,tomate recheado,mandioca temperada,iogurte e maçã
2023-02-06,jantar,pernil ao molho barbecue,ovo frito,virado de vagem,picolé de limão e mexerica
2023-02-07,almoco,filé de frango empanado,almôndega de feijão branco,creme de milho,gelatina de cereja e melão
2023-02-07,jantar,lasanha à bolonhesa,lasanha de pvt,acelga à chinesa,maxi goiabinha e banana
2023-02-08,almoco,lombo assado ao molho de limão,cassoulet vegetariano,farofa rica,brigadeirão e abacaxi
2023-02-08,jantar,bife ao molho de azeitonas,pvt com azeitonas,batata doce com ervas,arroz doce e mamão
2023-02-09,almoco,carne em cubos ao molho roty,quibe de brócolis com requeijão,ervilha à parmentier,manjar de coco com calda de ameixa e banana
2023-02-09,jantar,frango assado,curry de legumes,chuchu com azeitonas,mini bolo de chocolate e melancia
2023-02-10,almoco,bife ao molho ferrugem,omelete de espinafre,legumes refogados,goiabada e mamão
2023-02-10,jantar,hamburguer ao tomatelli,hamburguer de lentilha ao tomatelli,macarrão ao molho de queijos,pudim de maria mole e abacaxi
2023-02-11,almoco,estrogonofe de frango,estrogonofe de pvt,batata palha,cocada e laranja
2023-02-13,almoco,linguiça acebolada,grão de bico à indiana,farofa,mini bolo e laranja
2023-02-13,jantar,bife ao molho roty,tomate recheado,batata rústica,torrone e melão
2023-02-14,almoco,lasanha à bolonhesa,lasanha de pvt,brócolis ao alho,mousse de chocolate e abacaxi
2023-02-14,jantar,filé de frango ao molho ferrugem,pvt mexicano,purê de mandioquinha,doce de leite e mamão
2023-02-15,almoco,pernil ao molho barbecue,pvt com cogumelo e shimeji,couve refogada,sorvete de abacaxi e banana
2023-02-15,jantar,carne louca,bife de lentilha,polenta,bananada e laranja
2023-02-16,almoco,bife ao molho de cogumelos,rondele de queijos,repolho com ervas,sagu e melancia
2023-02-16,jantar,frango assado,pvt com azeitonas,macarrão a primavera,barra de cereais e banana
2023-02-17,almoco,frango xadrez,almôndega de feijão branco,legumes ao alho,gelatina de morango e mamão
2023-02-17,jantar,lombo ao molho de limão,omelete de forno,ervilha a parmentier,chocolate e abacaxi
2023-02-23,almoco,hamburguer ao molho pizzaiolo,hamburguer pizzaiolo com pvt,purê de batatas,chocolate e melancia
2023-02-23,jantar,filé de frango empanado,almôndegas de lentilha,cenoura à salsa,sorvete de creme e banana
2023-02-24,almoco,bife ao molho roty,omelete de espinafre,macarrão ao sugo,delícia de abacaxi e mamão
2023-02-24,jantar,lombo ao molho de limão,lasanha de berinjela com pvt,couve refogada,gelatina de morango e melão
2023-02-25,almoco,frango assado,grãos com queijo,legumes refogados,mousse de maracujá e banana
2023-02-27,almoco,filé de frango empanado,ovo cozido,creme de milho,barra de cereal e banana
2023-02-27,jantar,bife ao molho madeira,quibe de brócolis,abobrinha à italiana,torrone e maçã
2023-02-28,almoco,carne em cubos ao molho de cogumelo,pvt com shimeji e cogumelo,macarrão ao molho suíço,iogurte e banana
2023-02-28,jantar,linguiça acebolada,almôndega de aveia,farofa,bombom e melancia
2023-03-01,almoco,bife ao molho ferrugem,bifinho de lentilha ao molho ferrugem,legumes sautê,picolé de uva e maçã
2023-03-01,jantar,peixe frito,grãos com queijo branco,brócolis ao alho,maria mole e mamão
2023-03-02,almoco,lombo ao molho madeira,curry de legumes,polenta ao sugo,brigadeirão e abacaxi
2023-03-02,jantar,filé de frango à pizzaiolo,moussaka de pvt,chuchu à salsa,cocada e banana
2023-03-03,almoco,frango assado,cassoulet vegetariano,purê de batata com mandioquinha,goiabada e laranja
2023-03-03,jantar,carne louca,ovo frito,cenoura refogada,pudim de baunilha e melão
2023-03-04,almoco,iscas ao molho roty,pvt mexicano,batata doce com ervas,gelatina de cereja e mamão
2023-03-06,almoco,frango empanado,fricassê de pvt,legumes refogados,doce de leite e maçã
2023-03-06,jantar,bife ao molho de cebola,tomate recheado ,farofa rica,pão de mel e abacaxi
2023-03-07,almoco,lasanha à bolonhesa,lasanha de pvt,acelga refogada,bananada e tangerina
2023-03-07,jantar,pernil ao molho barbecue,cassoulet vegetariano ,mandioca sautê,gelatina de cereja e melão
2023-03-08,almoco,estrogonofe de frango,estrogonofe de pvt,batata palha,mousse de maracujá e melancia
2023-03-08,jantar,carne em cubos ao tomatelli,pvt mexicano ,polenta cremosa,sorvete de flocos e banana
2023-03-09,almoco,hamburguer bovino à pizzaiolo,hamburguer de grão de bico à pizzaiolo,macarrão à primavera,bombom e abacaxi
2023-03-09,jantar,filé de frango ao molho ferrugem,curry de legumes,cenoura gratinada,curau e tangerina
2023-03-10,almoco,lombo ao molho de limão,ovo frito,couve ao alho,sagú e banana
2023-03-10,jantar,isca de carne ao molho roty,quibe de pvt,ervilha à parmentier,iogurte e melancia
2023-03-11,almoco,lagarto ao molho champignon,pvt com cogumelo e shimeji,virado de cenoura e azeitona,pudim de coco com calda e melão
2023-03-13,almoco,bife ao molho madeira,quibe de brócolis,repolho à escabeche,alfajor e abacaxi
2023-03-13,jantar,linguiça acebolada,pvt com azeitonas,chuchu gratinado,mini bolo com recheio de morango e mamão
2023-03-14,almoco,frango empanado,bifinho de grão de bico,creme de milho,arroz doce e banana
2023-03-14,jantar,iscas de carne ao molho de azeitonas,rondele de ricota com espinafre,abobrinha à italiana,bombom e melancia
2023-03-15,almoco,carne em cubos ao pomodoro,pvt alemão,batata rústica,barra de cereais sabor chocolate e frutas e laranja
2023-03-15,jantar,frango assado,almôndega de aveia,polenta ao sugo,gelatina de morango e melão
2023-03-16,almoco,pernil ao molho barbecue,ovo frito,virado de couve,manjar de coco e melancia
2023-03-16,jantar,estrogonofe de carne,estrogonofe de legumes,batata palha,torrone e banana
2023-03-17,almoco,peixe ao molho de queijos,grãos com queijo branco,brócolis ao alho,sorvete de creme e tangerina
2023-03-17,jantar,isca de frango ao molho ferrugem,ovo cozido,legumes refogados,chocolate ao leite e abacaxi
2023-03-18,almoco,bisteca ao molho de limão,lasanha de berinjela e pvt,farofa,delicia de banana e maçã
2023-03-20,almoco,linguiça acebolada,pvt com azeitonas,vagem ao alho,iogurte e mamão
2023-03-20,jantar,filé de frango empanado,grãos gratinado,chuchu com azeitonas,bananada e laranja
2023-03-21,almoco,carne de panela ao tomatelli,almôndegas de feijão branco ao tomatelli,purê de batatas,gelatina de cereja e maçã
2023-03-21,jantar,lombo ao molho barbecue,lasanha de pvt,legumes refogados,bombom e melancia
2023-03-22,almoco,frango assado,ovo frito,polenta ao sugo,barra de cereais sabor banana e mel e laranja
2023-03-22,jantar,bife ao molho madeira,bife de lentilha ao molho madeira,abobrinha à italiana,pudim de pão e mamão
2023-03-23,almoco,estrogonofe de carne,estrogonofe de pvt,batata palha,brigadeirão e melão
2023-03-23,jantar,bisteca suína ao molho de limão,omelete de espinafre,farofa,bolinho de baunilha e abacaxi
2023-03-24,almoco,filé de frango à pizzaiolo,grão de bico à indiana,macarrão ao alho e óleo,pudim de maria mole com coco e melancia
2023-03-24,jantar,quibe recheado,quibe de brócolis com requeijão,acelga à chinesa,picolé de limão e maçã
2023-03-25,almoco,bife ao molho ferrugem,assado vienense de pvt,ervilha à parmentier,flan de morango e banana
2023-03-27,almoco,bife ao molho tomatelli,ovo cozido,chuchu refogado,barra de cereal com chocolate e mamão
2023-03-27,jantar,lombo ao molho ferrugem,pvt com azeitonas,farofa rica,cocada morena e laranja
2023-03-28,almoco,fricassê de frango,grãos gratinados,batata rústica,sorvete de flocos e banana
2023-03-28,jantar,hamburguer à pizzaiolo,hamburguer de pvt à pizzaiolo ,macarrão ao alho e óleo,mousse de morango e abacaxi
2023-03-29,almoco,cubos de pernil ao molho barbecue,curry de legumes,mandioca ao tomatelli,pudim de coco com calda e melão
2023-03-29,jantar,bife ao molho madeira,tomate recheado,legumes refogados,iogurte e melancia
2023-03-30,almoco,carne moída com azeitonas,pvt alemão,nhoque ao sugo,chocolate ao leite e abacaxi
2023-03-30,jantar,frango assado,almôndega de grão de bico,abóbora sautê,flan de baunilha com calda e maçã
2023-03-31,almoco,bife ao molho de cogumelos,lasanha de queijo,couve flor ao vinagrete,gelatina de morango e melancia
2023-03-31,jantar,isca ao molho roty,bifinho de feijão branco ao molho roty,batata doce com ervas,maxi goiabinha e banana
2023-04-01,almoco,frango assado,omelete de forno,ervilha à parmentier,cocada e tangerina
2023-04-03,almoco,linguiça acebolada,ovo frito,farofa,torrone e maçã
2023-04-03,jantar,bife ao molho ferrugem,suflê de legumes,abobrinha à italiana,maxi chocolate e laranja
2023-04-04,almoco,estrogonofe de frango,estrogonofe de pvt,batata palha,sagu e mamão
2023-04-04,jantar,lagarto ao molho madeira,curry de legumes ,cuscuz,cocada morena e banana
2023-04-05,almoco,bife ao molho de azeitonas,hamburguer de lentilha ao molho de azeitonas,mandioca ao tomatelli,ovo de páscoa e tangerina
2023-04-05,jantar,frango assado,omelete de espinafre,creme de milho,ovo de páscoa e maçã
2023-04-06,almoco,peixe frito,grãos com queijo,legumes refogado,chocolate ao leite e melancia
2023-04-06,jantar,cubos de pernil ao barbecue,pvt shimeji e cogumelo,batata corada,banoffee e abacaxi
2023-04-10,almoco,fricassê de frango,estrogonofe de legumes,batata palha,mini bolo de brigadeiro e melancia
2023-04-10,jantar,bife ao molho de azeitonas,pvt alemão,legumes ao alho,barra de cereal de banana e mel e melão
2023-04-11,almoco,lombo ao molho barbecue,ovo cozido,couve refogada,pudim de pão com calda e mamão
2023-04-11,jantar,carne em cubos ao tomatelli,pvt com azeitonas,polenta cremosa,picolé de uva e banana
2023-04-12,almoco,bife ao molho de cogumelo,moussaka vegetariana,macarrão ao sugo,maxi goiabinha e maçã
2023-04-12,jantar,filé de frango ao molho rosê,omelete de forno,chuchu com manjericão,mousse de limão e abacaxi
2023-04-13,almoco,lasanha à bolonhesa,lasanha de pvt,acelga à chinesa,gelatina de morango e melão
2023-04-13,jantar,bisteca ao molho ferrugem,cassoulet vegetariano,farofa,bananada e laranja
2023-04-14,almoco,filé de frango empanado,curry de legumes,cenoura à sautê,bombom e abacaxi
2023-04-14,jantar,bife ao molho madeira,tomate recheado,batata corada,pudim de maria mole e banana
2023-04-15,almoco,carne louca,quibe de pvt,abobrinha com ervas,flan de baunilha com calda e laranja
2023-04-17,almoco,bife ao molho roty,pvt alemão,legumes ao forno,maxi chocolate e maçã
2023-04-17,jantar,lombo ao molho de abacaxi,almôndega de aveia com ricota,batata doce com ervas,barra de cereal de banana e mel e tangerina
2023-04-18,almoco,hamburguer à pizzaiolo,hamburguer de grão de bico à pizzaiolo,penne ao alho e óleo com espinafre,sorvete de creme e banana
2023-04-18,jantar,frango empanado,pvt com shimeji e cogumelo,creme de milho,gelatina de framboesa e melão
2023-04-19,almoco,bife ao molho ferrugem,quibe de brócolis,acelga à chinesa,manjar de coco com calda de ameixa e abacaxi
2023-04-19,jantar,filé de frango ao molho rosê,bifinho de grão de bico ao sugo,brócolis refogado,iogurte e mamão
2023-04-20,almoco,pernil ao molho de limão,lasanha berinjela com pvt,farofa,banana caramelada e laranja
2023-04-20,jantar,carne moída,ovo frito,ervilha à parmentier,pão de mel e melancia
2023-04-24,almoco,filé de frango empanado,rondele de queijos,vagem refogada,iogurte e tangerina
2023-04-24,jantar,carne moída,pvt com azeitonas,batata rústica,chocolate ao leite e abacaxi
2023-04-25,almoco,bife ao molho provençal,tomate recheado,quiabo refogado,canjica e banana
2023-04-25,jantar,linguiça acebolada,ovo frito ,nhoque ao sugo,mini bolo de baunilha e melancia
2023-04-26,almoco,carne em cubos ao molho madeira,almôndega de pvt ao sugo,cenoura gratinada,gelatina de cereja e melão
2023-04-26,jantar,filé de frango ao molho ferrugem,quibe de brócolis e requeijão,chuchu com manjericão,picolé de limão e banana
2023-04-27,almoco,lombo assado ao molho roty,omelete de forno,couve ao alho,bananada e laranja
2023-04-27,jantar,bife ao molho de azeitonas ,curry de legumes,farofa,mosaico de gelatina e mamão
2023-04-28,almoco,filé de coxa assado,cassoulet vegetariano,polenta,rocambole de chocolate e abacaxi
2023-04-28,jantar,hambúrguer ao molho pomodoro ,bifinho de feijão branco ao molho pomodoro,couve flor sauté,curau e melão
2023-04-29,almoco,estrogonofe de carne, grão de bico à indiana,batata palha,canjica e mamão
2023-05-02,almoco,filé de frango empanado,ovo frito,creme de milho,torrone e laranja
2023-05-02,jantar,linguiça acebolada,almôndega de aveia ao sugo,farofa,bombom e melancia
2023-05-03,almoco,estrogonofe de carne,estrogonofe de grão de bico,batata palha,sorvete de morango e banana
2023-05-03,jantar,peixe frito,grãos com queijo branco,brócolis ao alho,pudim de pão com calda e mamão
2023-05-04,almoco,lombo ao molho madeira,suflê de legumes,couve refogada,brigadeirão e abacaxi
2023-05-04,jantar,bife ao molho tomatelli,moussaka de pvt,batata doce com ervas,maxi goiabinha e banana
2023-05-05,almoco,filé de coxa assado,cassoulet vegetariano,polenta cremosa,goiabada e tangerina
2023-05-05,jantar,carne louca (lagarto),omelete de forno,macarrão ao alho e óleo,gelatina de cereja e melão
2023-05-06,almoco,bisteca ao molho de limão,pvt mexicano,chuchu com azeitonas,pudim de maria mole com como e melancia
2023-05-08,almoco,carne moída,pvt com azeitonas,vagem ao alho,cocada branca e maçã
2023-05-08,jantar,filé de frango empanado,rondele de queijo ao molho bechamel,cenoura à salsa,barra de cereais banana e mel e laranja
2023-05-09,almoco,bife ao molho roty,omelete espinafre,cuscuz,gelatina de framboesa e banana
2023-05-09,jantar,bisteca ao molho barbecue,curry de legumes ,farofa,mousse de limão e abacaxi
2023-05-10,almoco,frango assado,grãos com queijo,legumes refogados,manjar com calda de ameixa e melancia
2023-05-10,jantar,bife ao molho tomatelli,ovo cozido,batata corada,rocambole de chocolate e melão
2023-05-11,almoco,lagarto ao molho cogumelo,bifinho de lentilha ao molho de cogumelo,nhoque ao sugo,iogurte e mamão
2023-05-11,jantar,filé de frango ao molho rosê,bobó de abóbora com palmito,acelga à chinesa,pudim de baunilha c
2023-05-12,almoco,pernil ao molho ferrugem,grão de bico à indiana ,virado de abobrinha,bombom e abacaxi
2023-05-12,jantar,quibe de bandeja,quibe de pvt,couve flor ao alho,picolé de uva e maçã
2023-05-13,almoco,bife ao molho de azeitonas,bife de pvt,ervilha à parmentier,mosaico de gelatina e melão
2023-05-15,almoco,bife ao molho madeira,tomate recheado,mandioca temperada,sorvete de flocos e maçã
2023-05-15,jantar,pernil em cubos ao molho barbecue,ovo frito,virado de vagem,torrone e mexerica
2023-05-16,almoco,peixe frito,quibe de brócolis e requeijão,batata doce com ervas,gelatina de cereja e melão
2023-05-16,jantar,lasanha à bolonhesa,lasanha de pvt,acelga à chinesa,maxi goiabinha e banana
2023-05-17,almoco,lombo ao molho de limão,cassoulet vegetariano,farofa rica,chocolate ao leite e abacaxi
2023-05-17,jantar,bife ao molho de azeitonas,pvt com azeitonas,batata rústica,arroz doce e mamão
2023-05-18,almoco,carne em cubos ao molho roty,pvt alemão,ervilha à parmentier,pudim de morango com calda de groselha e banana
2023-05-18,jantar,frango assado,almôndega de ricota com espinafre ao sugo,chuchu com azeitonas,mini bolo de brigadeiro e melancia
2023-05-19,almoco,bife acebolado,omelete com brócolis,legumes refogados,barra de cereais e mamão
2023-05-19,jantar,hamburguer ao tomatelli,hamburguer de lentilha ao tomatelli,macarrão ao alho com espinafre,manjar com calda de ameixa e abacaxi
2023-05-20,almoco,estrogonofe de frango,estrogonofe de pvt,batata palha,bananada e laranja
2023-05-22,almoco,linguiça acebolada,grão de bico à indiana,virado de vagem,mini bolo de baunilha com recheio de chocolate e melancia
2023-05-22,jantar,bife ao molho roty,tomate recheado,legumes à salsa,sorvete de creme e maçã
2023-05-23,almoco,carne moída,ovo cozido,batata rústica,mousse de morango e abacaxi
2023-05-23,jantar,frango assado,quibe de brócolis e requeijão,macarrão à primavera,bananada e laranja
2023-05-24,almoco,pernil ao molho barbecue,pvt com cogumelo e shimeji,couve refogada,barra de cereais e maçã
2023-05-24,jantar,isca ao molho tomatelli,souflê de legumes,polenta,surpresa de abacaxi e melancia
2023-05-25,almoco,bife ao molho de cogumelo,estrogonofe de grão de bico,repolho com ervas,iogurte e melão
2023-05-25,jantar,lombo ao molho ferrugem,pvt com azeitonas,farofa,sagu e banana
2023-05-26,almoco,frango xadrez,curry de legumes,cenoura ao alho,gelatina de framboesa e mamão
2023-05-26,jantar,carne de panela ao molho de cebola,omelete de forno,ervilha à parmentier,pão de mel e abacaxi
2023-05-27,almoco,lasanha à bolonhesa,lasanha de pvt,acelga à chinesa,maxi goiabinha e laranja
2023-05-29,almoco,filé de frango empanado,ovo cozido,creme de milho,picolé de limão e mexerica
2023-05-29,jantar,isca de carne ao molho rosê,quibe de brócolis e requeijão,legumes sautê,barra de cereais e melão
2023-05-30,almoco,hamburguer ao molho pizzaiolo,hamburguer de feijão branco à pizzaiolo,purê de batatas,flan de baunilha com calda e banana
2023-05-30,jantar,lombo ao molho barbecue,lasanha de pvt com berinjela,couve refogada,chocolate ao leite e abacaxi
2023-05-31,almoco,carne em cubos ao molho ferrugem,almôndega de pvt ao molho ferrugem,polenta cremosa,bolinho de baunilha com recheio de morango e melancia
2023-05-31,jantar,estrogonofe de frango,estrogonofe de grão de bico,batata palha,gelatina de cereja e maçã
2023-06-01,almoco,bisteca ao molho de cebola,pvt alemão,farofa,brigadeirão e abacaxi
2023-06-01,jantar,bife ao molho madeira,curry de legumes,chuchu à salsa,cocada e banana
2023-06-02,almoco,frango assado,almôndegas de ricota e espinafre,macarrão à primavera,pé de moça e laranja
2023-06-02,jantar,lagarto assado ao molho de azeitonas,ovo frito,cenoura à salsa,manjar com calda de ameixa e melancia
2023-06-03,almoco,iscas ao molho roty,pvt mexicano,batata doce com ervas,mosaico e mamão
2023-06-06,jantar,pernil ao molho barbecue,ovo cozido,farofa,gelatina de framboesa e melão
2023-06-07,almoco,filé de frango empanado,estrogonofe de grão de bico,legumes refogados,pudim de pão e melancia
2023-06-07,jantar,hamburguer ao molho tomatelli,hamburguer de pvt ao tomatelli,macarrão ao alho e óleo,sorvete de flocos e banana
2023-06-12,almoco,frango empanado,bifinho de grão de bico,creme de milho,bananada e maçã
2023-06-12,jantar,bife ao molho de azeitonas,lasanha de ricota e espinafre,legumes refogados,iogurte e tangerina
2023-06-13,almoco,carne louca (lagarto desfiado),curry de legumes,batata rústica,arroz doce moreno e banana
2023-06-13,jantar,linguiça acebolada,pvt com azeitonas,abobrinha à italiana,bombom e melancia
2023-06-14,almoco,iscas de carne ao molho madeira,pvt alemão,macarrão ao sugo,barra de cereais e laranja
2023-06-14,jantar,frango assado,almôndegas de aveia,polenta ao sugo,mosaico de gelatina e melão
2023-06-15,almoco,pernil ao molho barbecue,ovo frito,couve refogada,manjar de coco com calda de ameixa e melancia
2023-06-15,jantar,estrogonofe de carne,estrogonofe de legumes,batata palha,doce de abóbora e banana
2023-06-16,almoco,peixe ao molho de queijos,grãos com queijo branco,brócolis ao alho,sorvete de creme e tangerina
2023-06-16,jantar,carne em cubos ao molho pomodoro,ovo cozido,chuchu gratinado,chocolate ao leite e abacaxi
2023-06-17,almoco,lombo grelhado ao molho ferrugem,lasanha de berinjela e pvt,farofa,espumone de morango e
2023-06-19,almoco,linguiça acebolada,pvt com azeitonas,purê de batatas,iogurte e melão
2023-06-19,jantar,frango empanado,grãos gratinado,chuchu com azeitonas,pé de moça e laranja
2023-06-20,almoco,carne de panela ao tomatelli,almôndega de feijão branco ao tomatelli,macarrão ao alho e óleo,gelatina de cereja e maçã
2023-06-20,jantar,lombo ao molho barbecue,cassoulet vegetariano,virado de abobrinha e cenoura,bolinho de chocolate e abacaxi
2023-06-21,almoco,frango assado,ovo frito,polenta ao sugo,torrone e banana
2023-06-21,jantar,bife ao molho madeira,bife de lentilha,repolho com ervas,mousse de maracujá e melancia
2023-06-22,almoco,quibe de assadeira recheado,quibe de pvt recheado,vagem ao alho,curau e mamão
2023-06-22,jantar,bisteca suína ao molho de limão,omelete de espinafre,farofa,maxi goiabinha e maçã
2023-06-23,almoco,filé de frango à pizzaiolo,grão de bico à indiana,legumes refogados,brigadeirão e melancia
2023-06-23,jantar,lasanha à bolonhesa,lasanha de pvt,acelga à chinesa,doce de batata doce e banana
2023-06-24,almoco,bife ao molho ferrugem,almôndega de aveia ao molho ferrugem,cuscuz de legumes,bombom e abacaxi
2023-06-26,almoco,hamburguer à pizzaiolo,grãos gratinados,legumes ao alho,chocolate ao leite e abacaxi
2023-06-26,jantar,lombo ao molho ferrugem,quibe de brócolis e requeijão,mandioca ao tomatelli,cocada morena e laranja
2023-06-27,almoco,hamburguer à pizzaiolo,grãos gratinados,legumes ao alho,chocolate ao leite e abacaxi
2023-06-27,jantar,peixe frito,omelete de forno,batata rústica,manjar de coco e ameixa e melão
2023-06-28,almoco,filé de frango ao molho rosê,lasanha de queijo,cenoura à salsa,gelatina de framboesa e tangerina
2023-06-28,jantar,bife ao molho madeira,pvt com cogumelo e shimeji,couve flor ao vinagrete,iogurte e melancia
2023-06-29,almoco,bife ao molho de cebola,ovo cozido,nhoque ao sugo,kit junino e banana
2023-06-29,jantar,frango assado,almôndega de grão de bico ao sugo,cuscuz de legumes,kit junino e maçã
2023-06-30,almoco,pernil ao molho barbecue,bife de pvt ao molho barbecue,farofa,mousse de limão e melancia
2023-06-30,jantar,isca de carne ao molho roty,tomate recheado,batata doce com ervas,maxi chocolate e mamão
2023-07-01,almoco,lagarto ao molho ferrugem,bifinho de lentilha ao molho ferrugem,chuchu gratinado,barra de cereais chocolate e melão
2023-07-03,almoco,bife ao molho madeira,suflê de legumes,batata doce temperada,goiabada e maçã
2023-07-03,jantar,linguiça acebolada,pvt com cogumelo e shimeji,abobrinha à italiana,maxi chocolate e laranja
2023-07-04,almoco,tiras de frango ao molho rosê,grão de bico à indiana,batata palha,canjica quente e mamão
2023-07-04,jantar,carne louca,curry de legumes,polenta cremosa,manjar de coco e ameixa e banana
2023-07-05,almoco,feijoada,feijoada vegetariana,couve refogada,gelatina de cereja e tangerina
2023-07-05,jantar,bife ao molho roty,omelete de forno,mandioca ao molho pomodoro,torrone e melão
2023-07-06,almoco,carne moída,ovo frito,macarrão à primavera,chocolate e melancia
2023-07-06,jantar,filé de frango ao molho tomatelli,estrogonofe de pvt,batata corada,sagu e mamão
2023-07-07,almoco,isca ao molho de cogumelos,quibe de brócolis e requeijão,legumes refogados,barra de cereais e banana
